features,zscore,effect_size,auc_mean,auc_std,accuracy_mean,f1_mean,base_rate,n_patients,n_features
eeg,False,0.0,0.5821365914786968,0.14748882659421486,0.6361823361823362,0.7727780048619927,0.6363636255264282,132,130
eeg,False,0.15,0.5942378673957621,0.15564116021079338,0.6361823361823362,0.7727780048619927,0.6363636255264282,132,130
eeg,False,0.3,0.6336694007746638,0.1815474018877786,0.6361823361823362,0.7727780048619927,0.6363636255264282,132,130
eeg,False,0.5,0.7300472772841194,0.15469880670503713,0.6806267806267806,0.7936377652566368,0.6363636255264282,132,130
eeg,True,0.0,0.4682233994076099,0.2584671078870107,0.6361823361823362,0.7727780048619927,0.6363636255264282,132,130
eeg,True,0.15,0.4670329232171337,0.25747992896000427,0.6361823361823362,0.7727780048619927,0.6363636255264282,132,130
eeg,True,0.3,0.4670329232171337,0.25747992896000427,0.6361823361823362,0.7727780048619927,0.6363636255264282,132,130
eeg,True,0.5,0.4634444064707222,0.25508870636364706,0.6361823361823362,0.7727780048619927,0.6363636255264282,132,130
rtms+eeg+ecg,True,0.0,0.5819326725905674,0.1730897695484379,0.6740740740740739,0.7757179838885794,0.6363636255264282,132,139
rtms+eeg+ecg,True,0.15,0.6243620414673046,0.14990675630251402,0.6740740740740739,0.7863583779772494,0.6363636255264282,132,139
rtms+eeg+ecg,True,0.3,0.660727956254272,0.11882201539179998,0.7190883190883192,0.8006642512077295,0.6363636255264282,132,139
rtms+eeg+ecg,True,0.5,0.6954516974253817,0.10683698250198742,0.6743589743589743,0.7665611016575282,0.6363636255264282,132,139
